SN,Blog Title,Inappropritate Content,Sexual Abuse,Gaming Addition ,Dark Pattern,Link
1,The Hidenburg Report that Hits Home! - The Disturbing Reality of Roblox and Child Safety,,,yes,,https://www.linkedin.com/posts/prashant-nair-b6347221_roblox-inflated-key-metrics-for-wall-street-activity-7249479584188973057-NdxZ
2,,,,yes,,https://www.facebook.com/bbcbreakfast/posts/parents-who-are-worried-about-their-children-being-on-roblox-should-not-let-them/1074297871408147/
3,gaming addtition,,,yes,,https://gamequitters.com/stop-roblox-addiction/
4,Why Roblox Is So Addictive for Kids â€“ And How Parents Can Regain Control,,,yes,,https://www.bloomberg.com/features/2024-roblox-pedophile-problem/
5,,,,yes,,
6,Why Every Kid You Know Is Addicted to Roblox â€“ Roblox Magic,,,yes,,https://www.futuremediahubs.com/future-media-hubs/news/why-every-kid-you-know-addicted-roblox-roblox-magic
7,,,,yes,,https://news.ycombinator.com/item?id=20622129
8,Roblox Has Stolen My Kid! (What the Roblox Crash Revealed).,,,yes,,https://www.linkedin.com/pulse/monoform-media-roblox-addicts-catherine-mondragon-mfa-ba
9,Is my Child Addicted to Gaming? the tell-tale signs and how to help,,,yes,,https://thewaveclinic.com/blog/is-my-child-addicted-to-gaming-the-tell-tale-signs-and-how-to-help/
10,Roblox Is Ruining My Relationship With My Son: â€˜Casino For Childrenâ€™,,,yes,,https://everymum.ie/my-family/roblox-ruining-relationship-son/
11,My teen is addicted to Roblox,,,yes,,https://staging.willingness.com.mt/my-teen-is-addicted-to-roblox/
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Dark Pattern ,,,,,,
1,"ğ—¥ğ—¼ğ—¯ğ—¹ğ—¼ğ˜… ğ—Ÿğ—¼ğ—¼ğ˜ ğ—•ğ—¼ğ˜…ğ—²ğ˜€ ğ—”ğ—¿ğ—² ğ—£ğ—¿ğ—¶ğ—ºğ—¶ğ—»ğ—´ ğ—ğ—¶ğ—±ğ˜€ ğ—³ğ—¼ğ—¿ ğ—šğ—®ğ—ºğ—¯ğ—¹ğ—¶ğ—»ğ—´
",,,,yes,https://www.facebook.com/ReformGambling/videos/%F0%9D%97%A5%F0%9D%97%BC%F0%9D%97%AF%F0%9D%97%B9%F0%9D%97%BC%F0%9D%98%85-%F0%9D%97%9F%F0%9D%97%BC%F0%9D%97%BC%F0%9D%98%81-%F0%9D%97%95%F0%9D%97%BC%F0%9D%98%85%F0%9D%97%B2%F0%9D%98%80-%F0%9D%97%94%F0%9D%97%BF%F0%9D%97%B2-%F0%9D%97%A3%F0%9D%97%BF%F0%9D%97%B6%F0%9D%97%BA%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B4-%F0%9D%97%9E%F0%9D%97%B6%F0%9D%97%B1%F0%9D%98%80-%F0%9D%97%B3%F0%9D%97%BC%F0%9D%97%BF-%F0%9D%97%9A%F0%9D%97%AE%F0%9D%97%BA%F0%9D%97%AF%F0%9D%97%B9%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B4/1165756608103791/
2,Report: Gaming loot boxes cause financial and emotional harm to children,,,,yes,https://www.lboro.ac.uk/media-centre/videos/2022/loot-box-report/
3,"
Wachiwit/Shutterstock
â€˜Literally just child gamblingâ€™: what kids say about Roblox, lootboxes and money in online games",,,,yes,https://theconversation.com/literally-just-child-gambling-what-kids-say-about-roblox-lootboxes-and-money-in-online-games-250387
4,Warning for Parents: Kids spending thousands of dollars on â€œfreeâ€ Roblox game,,,,yes,https://parents-together.org/warning-for-parents-kids-spending-thousands-of-dollars-on-free-roblox-game/