SN,,Subscriber,Youtuber,Views,Video Title,Abusive speech,Bad Message,Inappropriate Content,Sexual abuse,Dark pattern,gaming addition,Bots,,Link,games,About the parental control 
,,,,,,,,,,,,,,,,
1,1,11.8M ,"
KreekCraft","700,866 views  Jul 24, 2023","
ROBLOX ISN'T SAFE ANYMORE...",,,1,,,,,,https://www.youtube.com/watch?v=jA6GtYVZTPs,,
2,2,11.8M ,"
KreekCraft","
545,338 views  May 10, 2025","roblox will ban you for this
",,,,,,,,,https://www.youtube.com/watch?v=-ivdEPnvQFU,,
3,3,11.8M ,"
KreekCraft","
396K views  1 month ago","I'm Getting Bullied...
",,,,,,,,,https://www.youtube.com/watch?v=MnFFPgOjNt8,,
4,4,11.8M ,"
KreekCraft","625,600 views  Apr 12, 2025",roblox has a huge problem,,,,,,,,,https://www.youtube.com/watch?v=UG6V3ojC0vY,thread,"bad security control, anybody can   use anybody email."
5,5,11.8M ,"
KreekCraft","964,663 views  Jan 11, 2025",ROBLOX GAMES COST MONEY NOW???,,,,,1,,,,https://www.youtube.com/watch?v=CF9zszt0BqA,,
6,6,11.8M ,"
KreekCraft","
2,027,810 views  Jan 27, 2023","This Roblox Game Should Be Banned
",1,,1,,,,,,https://www.youtube.com/watch?v=PcgxGITL7fE,mipcity,
7,1,5.25M subscribers,Good Morning America,"
69,619 views  Sep 7, 2022  ",Parents warned about inappropriate content found in Roblox l GMA,1,,1,1,,,,,https://www.youtube.com/watch?v=xSkXmk5EkWs,,
8,1,83.5K subscribers,"4 News Now
","
102,898 views  Nov 5, 2021","This is how a predator targets 9-year-old Spokane boy on Roblox
",,,1,1,,,,,https://www.youtube.com/watch?v=levReirzSYM,,
9,1,481 subscribers,ArmaniBlox,"
21,148 views  Aug 25, 2024","I Caught Predators On Roblox
",,,1,1,,,,,https://www.youtube.com/watch?v=RZj2xg3mrLA,,
10,1,"

445K subscribers",Schlep,"
58,859 views","This Roblox Account Is ILLEGAL
",1 (bad user name) ,,1,,,,,,https://www.youtube.com/watch?v=jmVotnCVRZE,,
11,2,"

445K subscribers",Schlep,"1,631,693 views  Premiered Sep 8, 2024",Catching MORE Roblox Predators (ft. Ruben Sim),1,1,1,,,,,,https://www.youtube.com/watch?v=A6lpwXAngr8,,
12,3,"

445K subscribers",Schlep,"
4,810,692 views ",Roblox Predator Gets Arrested! (ft: JiDion & Ruben Sim),1,,1,1,,,,,https://www.youtube.com/watch?v=eLDfGhu7_P4,,
13,4,"

445K subscribers",Schlep,"
1,309,650 views  Premiered Mar 31, 2025","Roblox Predator Goes to JAIL! (ft: JiDion)
",,,,1,,,,,https://www.youtube.com/watch?v=Lems3agp42M,,
14,5,"

445K subscribers",Schlep,"1,462,987 views  Premiered Sep 28, 2024","

Chat Replay is disabled for this Premiere.
We Got A Roblox Predator Arrested",,1 - pradator,,1,,,,,https://www.youtube.com/watch?v=D0R559dMxc8,,
15,6,"

445K subscribers",Schlep,"5,219,274 views  Premiered Jun 30, 2024","

Chat Replay is disabled for this Premiere.
Catching Predators on Roblox",,1-pradator,,1,,,,,https://www.youtube.com/watch?v=Sb29v245NUw,,
16,7,"

445K subscribers",Schlep,"
2,267,925 views  Feb 3, 2025","We Got a Roblox Predator ARRESTED! (ft: JiDion)
",1,1,1,1,,,,,https://www.youtube.com/watch?v=xulV-hbj444,cando game (bad games),
17,8,"

445K subscribers",Schlep,"
180,081 views  Premiered Aug 15, 2023 ","The Dark Side Of Roblox UGC...
",,,,,,,,,https://www.youtube.com/watch?v=TEW9tIsd_so,,
18,1,2.8K subscribers,rahmadeit,"8,724 views  Jul 18, 2024
","I Catfished Roblox Predators
",1,1,1,,,,,,https://www.youtube.com/watch?v=i772Jftheg0,,
19,1,59.4K subscribers,"
shinzu
","135,005 views  Jun 20, 2024","Exposing Robloxâ€™s Creepiest Predator
",,,1,1,,,,,https://www.youtube.com/watch?v=KK9i00JOuRY,,
20,2,59.4K subscribers,"
shinzu
","
228,312 views  Premiered Nov 1, 2023","Roblox Players Who Became Horrible Criminals
",1,1,1,1,,,,,https://www.youtube.com/watch?v=jDjr1d09Q6o,,
21,1,4.65M subscribers,"Bloomberg Originals
","129,899 views  Jul 23, 2024",Roblox Has a Predator Problem,,1-padator ,1,1,,,,,https://www.youtube.com/watch?v=DD6cac64fc4,,
22,1,4.8M subscribers,"
TODAY
","134,936 views  Oct 21, 2021",Parents Beware: Roblox Gaming Platform Isn't Always Kid Friendly,1,1,1,1,,,,,https://www.youtube.com/watch?v=1mdUUufAI4M,,
23,1,1.69M subscribers,"More Perfect Union
","219,136 views  Sep 7, 2023
","Roblox Is Exploiting Kids. We Talked To Some Of Them.
",1,1,1,,,,,child online labor,https://www.youtube.com/watch?v=n6PYj93SGxc,,
24,1,"148 subscribers
","
Itisjiwan
","
15,533 views  Sep 11, 2024","
WARNING: Roblox Isn't Safe for Kids Anymore! Parents Need to Know",,,,,,,,,https://www.youtube.com/watch?v=StX9gW27254,,
25,2,"148 subscribers
","
Itisjiwan
","420 views  Feb 27, 2025
","The Dark Side of Roblox - Exploitation, Scams, and Predators",,,,,,,,,https://www.youtube.com/watch?v=KX2spEUi5SM,,
26,1,8.57K subscribers,"Axis
","20,223 views  Jan 2, 2024
","29 million kids under the age of 13 are playing Roblox, but is it safe?",,,1,,1,,,,https://www.youtube.com/watch?v=7Aaj4bf0svw,,
27,1,1.29M subscribers,"
Ruben Sim
","139,301 views  Premiered 9 hours ago
","


Show chat replay
Can We Fix Roblox Moderation?",,1,1,,,,,,https://www.youtube.com/watch?v=pM1ABZY5wBM,,
28,2,1.29M subscribers,"
Ruben Sim
","926,124 views  Premiered Feb 25, 2025
","Why 90,000 Roblox Players Want Me Dead
",1,1,1,1,,,,,https://www.youtube.com/watch?v=acIxnaImf7U,,
29,3,1.29M subscribers,"
Ruben Sim
","1,970,424 views  Premiered Jun 5, 2023
","Illegal Roblox Games
",,,1,1,1,,,,https://www.youtube.com/watch?v=SZFKhLqG8iw,,
30,4,1.29M subscribers,"
Ruben Sim
","3,289,547 views  Premiered Jan 10, 2023","Destroying The Roblox Condo Supply Chain
",,,1,1,,,,,https://www.youtube.com/watch?v=2bUWnxP_YAw,,
31,5,1.29M subscribers,"
Ruben Sim
","1,011,389 views  Premiered Apr 27, 2025","Getting Death Threats For Stopping Roblox Condos
",,,1,,,,,,https://www.youtube.com/watch?v=tpwYdYDWu-k,,
32,6,1.29M subscribers,"
Ruben Sim
","1,939,065 views  Premiered Dec 4, 2023
","Uncovering Roblox's Nastiest Community
",1,1,1,1,1,,,,https://www.youtube.com/watch?v=RxJvvP2erDE,,
33,7,1.29M subscribers,"
Ruben Sim","1,549,860 views  Jun 19, 2017
","
MisterObvious Is a Pedophile (June, 2017)",,,,,,,,,https://www.youtube.com/watch?v=BSm1NxGJKmI,,
34,1,74.6K subscribers,"DocuBlox
","
1,136,693 views  Aug 5, 2024 ","Roblox Youtubers Who Were Exposed As Predators
",,1,1,1,,,,,https://www.youtube.com/watch?v=RYw66aBuTj4,,
35,1,"106K subscribers
","snunt
","113,679 views  Apr 24, 2025
","2 Female Preds Cried After Being Caught
",,,,,,,,,https://www.youtube.com/watch?v=Foff4fHm4Jw,,
36,2,"106K subscribers
","snunt
","130,406 views  Mar 31, 2025
","Exploring Roblox's Age Player Problem
",,,,,,,,,https://www.youtube.com/watch?v=XfxkeBvHwoM,,
37,3,"106K subscribers
","snunt
","156,358 views  Mar 22, 2025","She's Obsessed With Roblox's Worst Predator, Soul",,,,1,,,,,https://www.youtube.com/watch?v=fBVunGp-02s,,
38,4,106K subscribers,"snunt
","219,037 views  Sep 9, 2024
",Confronting The WORST Roblox PREDATOR,,,1,1,,,,,https://www.youtube.com/watch?v=WgxV2-ZSVq4,,
39,1,56.1K ,"
Srupl","
74,389 views  Premiered Oct 1, 2024 ",I Caught Two Degenerate P*dophiles..,,1,1,1,,,,,https://www.youtube.com/watch?v=DHJ2toStGxI,,
40,2,56.1K ,"
Srupl","1,387,111 views  Premiered Feb 10, 2025
","Disgusting 22 Year Old P*dophile Cries On Call.
",,1,1,1,,,,,https://www.youtube.com/watch?v=MJy01xoicRM,,
41,3,56.1K ,"
Srupl","730,318 views  Premiered Dec 22, 2024
","The Weirdest Brookhaven Pr*dator.
",,1,1,1,,,,,https://www.youtube.com/watch?v=5L1rOIlfoCI,,
42,4,56.1K ,"
Srupl","177,670 views  Premiered Oct 14, 2024
","Roblox has a Gooner Problem.
",,1,1,1,,,,,https://www.youtube.com/watch?v=b20YbGuHosU,,
43,5,56.1K ,"
Srupl","1,387,111 views  Premiered Feb 10, 2025
","Disgusting 22 Year Old P*dophile Cries On Call.
",,1,1,1,,,,,https://www.youtube.com/watch?v=MJy01xoicRM,,
44,6,56.1K ,"
Srupl","
79,028 views  Premiered Sep 6, 2024",The Worst Roblox P*dophiles.,,1,1,1,,,,,https://www.youtube.com/watch?v=OEXVveJ7360,,
45,1,85.6K subscribers,"
Coael","649,384 views  Nov 18, 2024
",Roblox YouTubers Who Got Exposed In 2024,,,1,1,,,,,https://www.youtube.com/watch?v=wmru8B2zgD0,,
46,2,85.6K subscribers,"
Coael","79,182 views  May 1, 2025",How Roblox's Biggest YouTuber Got Exposed (VuxVux),,,1,1,,,,,https://www.youtube.com/watch?v=HOoNu6IBa7A,,
47,3,85.6K subscribers,"
Coael","43,482 views  Mar 29, 2025
",How The FBI Caught Roblox's Biggest Scammer,,,1,1,1,,,,https://www.youtube.com/watch?v=Q1gP7pzGMJ0,,
48,1,3.98M subscribers,"
JiDionPremium 
","4,359,715 views  Oct 18, 2024
","He Came To Play Roblox With A 15 Year Old, Meets Cops Instead!",,,1,1,,,,,https://www.youtube.com/watch?v=Pb8LNJkBEpc,,
49,2,,JiDionPremium ,"2,482,768 views  Mar 26, 2025
","I EXP0SED A ROBLOX PREDAT0R!
",,,1,1,1,,,,https://www.youtube.com/watch?v=ueMonh1PEVY,,
50,1,10.1K subscribers,"
JamesAntlers","
81,707 views  Jan 26, 2025",kid crashes out and calls me a PDF file over a lego deer avatar,1,,1,1,,,,,https://www.youtube.com/watch?v=DtyghIIJPo0,,
51,1,606K subscribers,"greenlegocats123
","
55,303 views  Jun 11, 2025","Roblox Helped a Condo Creator
",,,1,1,,,,,https://www.youtube.com/watch?v=EWr9BuK8KI0,,
52,1,97.6K subscribers,ThatBoredGamer,"11,152 views  Jun 7, 2025
",The Roblox Predator Epidemic,,,,,,,,,https://www.youtube.com/watch?v=SluWneivuXc,,
53,1,551K subscribers,"
People Make Games","7,807,480 views  Dec 13, 2021",Roblox Pressured Us to Delete Our Video. So We Dug Deeper.,1,1,1,1,1,,,,https://www.youtube.com/watch?v=vTMF6xEiAaY,,
54,2,551K subscribers,"
People Make Games","2,573,236 views  Aug 19, 2021",Investigation: How Roblox Is Exploiting Young Game Developers,,,1,,1,,,child labor,https://www.youtube.com/watch?v=_gXlauRB1EQ,,
55,3,551K subscribers,"
People Make Games","7,807,480 views  Dec 13, 2021",Roblox Pressured Us to Delete Our Video. So We Dug Deeper.,,,1,1,,,,,https://www.youtube.com/watch?v=vTMF6xEiAaY,,
56,4,551K subscribers,"
People Make Games","2,573,236 views  Aug 19, 2021",Investigation: How Roblox Is Exploiting Young Game Developers,,,1,1,,,,,https://www.youtube.com/watch?v=_gXlauRB1EQ,,
57,1,239 subscribers,"
Samantha De Maria ","
4,372 views  Feb 18, 2021",ROBLOX IS FOR PEDOPHILES!!!!!!!! Watch this Video!!!!,,,1,1,,,,,https://www.youtube.com/watch?v=a38v1NKm57Q,,
58,1,87K subscribers,Jax,"
310,411 views  Premiered Jan 13, 2022","
The Andrew Philes Pt. 1 | The Most Disgusting Roblox Predator [READ DESC]",,,1,1,,,,,https://www.youtube.com/watch?app=desktop&v=3yFblHNU7MU&ab_channel=Jax,,
59,2,87K subscribers,Jax,"
61,423 views  Premiered Jan 20, 2022","Roblox UGC Creator Groomed a 12 Year Old | LambdaCrux [READ DESC]
",,,1,1,,,,,https://www.youtube.com/watch?v=yEjWcIyhtmQ,,
60,3,87K subscribers,Jax,"45,265 views  Jan 6, 2023",The Most Toxic Community on Roblox?,,,1,1,,,,,https://www.youtube.com/watch?v=zFmPbLxaDoU,,
61,4,87K subscribers,Jax,"66,792 views  Premiered Apr 17, 2022
",The History of Roblox Exploiting,,,1,1,,,,,https://www.youtube.com/watch?v=_ci-bxwadyw,,
62,1,4.31K subscribers,Alicia Kozak,"
8,303 views  Feb 22, 2025",,,,,,1,,,,"Parents, WARNING! The Dangers of Roblox You NEED to Know!
",,
63,1,21.4K subscribers,"
Loughborough University","2,136 views  Nov 28, 2022",Report: Gaming loot boxes cause financial and emotional harm to children,,,,,,1,,,https://www.youtube.com/watch?v=ZBVn0JudtJM&t=2s,,
64,1,516K subscribers,"
MIKEYDOOD
","131,398 views  Sep 5, 2018","
REACTING TO A KID WHO'S ADDICTED TO ROBLOX!",,,,,,1,,,https://www.youtube.com/watch?v=bjVgJN2nQIo,,
BOT,,,,,,13,17,46,40,9,2,0,,,,
1,1,11.8M ,"
KreekCraft","
500,036 views  Jun 3, 2025",I Found BOTS in Grow a Garden...,,,,,,,1,,https://www.youtube.com/watch?v=1rXWT15R1oo,,
2,,,"KreekCraft
","
719,103 views  Mar 8, 2025 ",Roblox Bots Are Back... (This Is Bad),,,,,,,1,,https://www.youtube.com/watch?v=ddkRpd11WE0,,
3,,,"KreekCraft
","
817,909 views  Dec 28, 2024",HUGE Roblox Problem...,,,,,,,1,,https://www.youtube.com/watch?v=o-pATgEsr7A,,
4,,,"KreekCraft
","
1,451,399 views  Dec 31, 2024 ","
Roblox Is Doomed...",,,,,,,1,,https://www.youtube.com/watch?v=c0Jmi7OL7Vk,,
5,,2.04M subscribers,"Jayingee
","186,305 views  Dec 15, 2024",The ROBLOX BOT problem...,,,,,,,1,,https://www.youtube.com/watch?v=QUxcuxYdfEE,,
6,,2.88K subscribers,"
Kwaesway32","
296,368 views  Jan 21, 2025",Best chat bypass script? | Roblox Exploiting,,,,,,,1,,https://www.youtube.com/watch?v=BDZ_pLsgeP0,,
,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,7,,,,